Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type,KiLib_Generator,MFN,Field8,LCSC,DISTPN,Field9,Macrofab,Description,MAXIMUM_PACKAGE_HEIGHT,CREATOR,STANDARD,PARTREV,UNIT,MANUFACTURER
"C1, C2, C3, C5, C501, C502, C503, C504, C7",9,0.1uf,C_0201_0603Metric,,GRM033C81E104KE14D,,smt,"[C504,C7]SMD_2terminal_chip_molded; [C2]murata; [C501,C502,C503]Murata",Murata,${REFERENCE},C181047,"[C2]490-7229-2-ND; [C3,C5,C501,C502,C503,C504]490-10403-1-ND",${REFERENCE},MF-CAP-0402-0.1uF,,,,,,,
"C4, C404",2,22uf,C_0402_1005Metric,,04026D226MAT2A,,smt,04026D226MAT2A,AVX,${REFERENCE},C2179118,478-9839-1-ND,,,,,,,,,
C6,1,47uf,C_0603_1608Metric,,06036D476MAT2A,,smt,SMD_2terminal_chip_molded,KYOCERA AVX,,C2185054,478-11180-1-ND,,,,,,,,,
C8,1,220nf,C_0201_0603Metric,,GRM033R60J224ME15D,,smt,,MURATA,,C76932,,,,Unpolarized capacitor,,,,,,
D401,1,D,D_0402_1005Metric,,CDBQC0130L-HF,,smt,CDBQC0130L-HF,COMCHIP,${REFERENCE},C2886012,641-1519-1-ND,,,,,,,,,
Q501,1,PMBT2222AMBYL,SOT-883,,PMBT2222AMBYL,,smt,,Nexperia,${REFERENCE},C552701,1727-2632-1-ND,,,,,,,,,
R1,1,10k,R_0201_0603Metric,,RC0201FR-0710KL,,smt,Yaego,Yaego,,C106225,311-10.0KMCT-ND,${REFERENCE},MF-RES-0402-10K,,,,,,,
R2,1,10,R_0201_0603Metric,,RC0201FR-0710RL,,smt,,Yageo,,C106226,,,,Resistor,,,,,,
U1,1,724-AT25FF321A-UUN-T,adesto_wlcsp12,,AT25FF321A-UUN-T,,smt,,adesto,${REFERENCE},C1858339,724-AT25FF321A-UUN-T,,,,,,,,,
U2,1,ADXL367BCCZ-RL7,CC-12-4_ADI,,ADXL367BCCZ-RL7,,smt,,Analog Devices,,C17643415,,,,,,,,,,
U3,1,BMP585,LGA9_BMP585_BOS,,BMP585,,smt,,Bosch,,C18184976,,,,,1.96mm,NEZY,Manufacturer Recommendations,1.2,mm,Bosch
U302,1,stm32l431kc,QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm,,STM32L432KCU6,,smt,STMicroelectronics,STMicroelectronics,${REFERENCE},C1337280,497-16578-ND,,,,,,,,,
U501,1,RV-3028-C8-32.768kHz-1PPM-TA-QC,RV-3028-C8,,RV-3028-C8-32.768kHz-1PPM-TA-QC,,smt,,Micro Crystal,,C46471039,,,,,,,,,,
