pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
4.055,7.98,0.0,bottom,C1,GRM033C81E104KE14D,,C_0201_0603Metric,0.1uf,smt
11.9,6.85,90.0,bottom,C2,GRM033C81E104KE14D,,C_0201_0603Metric,0.1uf,smt
11.5,8.575,0.0,bottom,C3,GRM033C81E104KE14D,,C_0201_0603Metric,0.1uf,smt
11.83,1.96,-90.0,bottom,C4,04026D226MAT2A,,C_0402_1005Metric,22uf,smt
4.3,8.1,0.0,top,C404,04026D226MAT2A,,C_0402_1005Metric,22uf,smt
6.76,6.4,-90.0,top,C5,GRM033C81E104KE14D,,C_0201_0603Metric,0.1uf,smt
5.78,4.67,0.0,top,C501,GRM033C81E104KE14D,,C_0201_0603Metric,0.1uf,smt
3.92,3.335,-90.0,bottom,C502,GRM033C81E104KE14D,,C_0201_0603Metric,0.1uf,smt
6.095,3.71,180.0,top,C503,GRM033C81E104KE14D,,C_0201_0603Metric,0.1uf,smt
5.283542,1.99,-90.0,top,C504,GRM033C81E104KE14D,,C_0201_0603Metric,0.1uf,smt
3.7,6.05,-90.0,top,C6,06036D476MAT2A,,C_0603_1608Metric,47uf,smt
2.6,6.02,-90.0,top,C7,GRM033C81E104KE14D,,C_0201_0603Metric,0.1uf,smt
2.675,3.445,-90.0,top,C8,GRM033R60J224ME15D,,C_0201_0603Metric,220nf,smt
11.83,1.96,-90.0,top,D401,CDBQC0130L-HF,,D_0402_1005Metric,D,smt
2.74,3.46,90.0,bottom,Q501,PMBT2222AMBYL,,SOT-883,PMBT2222AMBYL,smt
7.565,3.69,0.0,top,R1,RC0201FR-0710KL,,R_0201_0603Metric,10k,smt
10.055,8.575,180.0,bottom,R2,RC0201FR-0710RL,,R_0201_0603Metric,10,smt
9.873542,2.64,180.0,top,U1,AT25FF321A-UUN-T,,adesto_wlcsp12,724-AT25FF321A-UUN-T,smt
3.1936,6.04,180.0,bottom,U2,ADXL367BCCZ-RL7,,CC-12-4_ADI,ADXL367BCCZ-RL7,smt
9.13,6.285,90.0,top,U3,BMP585,,LGA9_BMP585_BOS,BMP585,smt
8.033542,4.42,0.0,bottom,U302,STM32L432KCU6,,QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm,STM32L432KCU6,smt
6.96,2.16,90.0,top,U501,RV-3028-C8-32.768kHz-1PPM-TA-QC,,RV-3028-C8,RV-3028-C8-32.768kHz-1PPM-TA-QC,smt
