Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uf,C_0603_1608Metric,130.0226,-103.518,-90.0,top
C10,0.1uf,C_0603_1608Metric,129.065,-76.077,180.0,top
C2,0.1uf,C_0603_1608Metric,124.9172,-88.0364,90.0,top
C3,4.7uf,C_0603_1608Metric,132.665,-76.077,0.0,top
C4,4.7uf,C_0603_1608Metric,126.14,-103.502,-90.0,top
C6,0.1uf,C_0603_1608Metric,126.0094,-95.9866,180.0,top
C7,0.1uf,C_0603_1608Metric,126.5682,-88.0364,90.0,top
C8,0.1uf,C_0603_1608Metric,131.0132,-96.2914,90.0,top
C9,0.1uf,C_0603_1608Metric,128.2192,-103.5428,-90.0,top
U2,MX25U12843GBBI00,IC_MX25U12843GBBI00,129.19,-79.027,-90.0,top
U3,AK09940A,AK09940a,128.8796,-96.393,180.0,top
U4,LSM6DSV16XTR,LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,128.8796,-100.203,0.0,top
U5,LPS22HH,ST_HLGA-10_2x2mm_P0.5mm_LayoutBorder3x2y,128.8796,-88.0872,90.0,top
