Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uf,C_0603_1608Metric,132.7545,-107.223,-90.0,top
C10,1uf,C_0603_1608Metric,134.1,-81.322,-90.0,top
C11,0.1uf,C_0603_1608Metric,132.425,-81.322,-90.0,top
C12,0.1uf,C_0603_1608Metric,129.395,-92.852,90.0,top
C13,0.1uf,C_0603_1608Metric,133.67,-93.252,-90.0,top
C14,1uf,C_0603_1608Metric,138.06,-81.277,-90.0,top
C2,0.1uf,C_0603_1608Metric,129.3832,-86.8804,90.0,top
C4,2.2uf,C_0603_1608Metric,131.395,-99.952,0.0,top
C507,0.1uf,C_0603_1608Metric,139.83,-81.267,-90.0,top
C7,0.1uf,C_0603_1608Metric,131.0342,-86.8804,90.0,top
C9,0.1uf,C_0603_1608Metric,130.9511,-107.2478,-90.0,top
R3,4.7k,R_0603_1608Metric,124.065,-92.227,0.0,top
R4,4.7k,R_0603_1608Metric,124.015,-89.177,0.0,top
U1,TPS22916BYFPR,IC_TPS22916BYFPR,136.08,-81.517,270.0,top
U2,BMM350,BGA9_BMM350_BOS,131.24495,-92.82695,0.0,top
U3,BMP581,QFN10_BMP581_BOS,133.433001,-86.736999,90.0,top
U4,LSM6DSV,LGA14-L_2P59X3P1X0P5_STM,131.6115,-103.908,180.0,top
U6,GD5F2GM7REYIGR,WSON-8-1EP_8x6mm_P1.27mm_EP3.4x4.3mm,126.94,-79.902,270.0,top
