Comment,Designator,Footprint,LCSC,Quantity
0.1uf,"C1,C11,C12,C13,C2,C507,C7,C9",C_0603_1608Metric,C14663,8
1uf,"C10,C14",C_0603_1608Metric,C15849,2
2.2uf,C4,C_0603_1608Metric,C162273,1
4.7k,"R3,R4",R_0603_1608Metric,C23162,2
BMM350,U2,BGA9_BMM350_BOS,C17225907,1
GD5F1GQ5REYIGR,U6,WSON-8-1EP_8x6mm_P1.27mm_EP3.4x4.3mm,C2927042,1
LPS22HBTR,U5,ST_HLGA-10_2x2mm_P0.5mm_LayoutBorder3x2y,C94049,1
LSM6DSV,U4,LGA14-L_2P59X3P1X0P5_STM,C5267406,1
TPS22916BYFPR,U1,IC_TPS22916BYFPR,C2150095,1
TestPoint,TP1,TestPoint_Pad_D2.0mm,,1
