Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uf,C_0603_1608Metric,130.0226,-103.518,-90.0,top
C10,1uf,C_0603_1608Metric,134.09,-78.552,-90.0,top
C11,0.1uf,C_0603_1608Metric,132.415,-78.552,-90.0,top
C12,0.1uf,C_0603_1608Metric,129.365,-95.427,180.0,top
C13,0.1uf,C_0603_1608Metric,129.765,-91.152,0.0,top
C2,0.1uf,C_0603_1608Metric,129.3832,-86.8804,90.0,top
C4,2.2uf,C_0603_1608Metric,136.465,-93.427,90.0,top
C7,0.1uf,C_0603_1608Metric,131.0342,-86.8804,90.0,top
C9,0.1uf,C_0603_1608Metric,128.2192,-103.5428,-90.0,top
R3,4.7k,R_0603_1608Metric,124.065,-92.227,0.0,top
R4,4.7k,R_0603_1608Metric,124.015,-89.177,0.0,top
U2,BMM350,BGA9_BMM350_BOS,129.33995,-93.57705,90.0,top
U4,LSM6DSV,LGA14-L_2P59X3P1X0P5_STM,128.8796,-100.203,180.0,top
U5,LPS22HH,ST_HLGA-10_2x2mm_P0.5mm_LayoutBorder3x2y,133.3456,-86.9312,90.0,top
U6,GD5F1GQ5REYFGR,WSON-8-1EP_8x6mm_P1.27mm_EP3.4x4.3mm,126.94,-79.902,270.0,top
