Designator,Mid X,Mid Y,Rotation,Layer
C101,132.05,-75.515,180.0,top
C106,134.95,-74.55,0.0,top
C107,136.85,-69.75,180.0,top
D101,123.15,-80.95,0.0,top
D102,129.54,-75.565,90.0,top
D103,123.19,-57.15,0.0,top
D104,132.35,-72.05,90.0,top
J101,142.24,-50.8,0.0,top
J102,142.24,-87.63,0.0,top
J103,146.05,-69.85,90.0,top
J104,123.19,-72.39,270.0,top
R1,129.49,-66.65,270.0,top
R101,123.15,-82.75,180.0,top
R102,129.54,-72.39,270.0,top
R103,135.55,-77.65,270.0,top
R104,135.45,-81.15,270.0,top
R105,123.12,-59.28,180.0,top
R106,131.75,-66.675,270.0,top
R107,133.985,-66.675,270.0,top
R2,136.25,-67.05,90.0,top
SW101,131.55,-58.35,90.0,top
U101,132.65,-78.215,90.0,top
U106,136.05,-72.15,0.0,top
