Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type,DISTPN,LCSC,MFN,KiLib_Generator,Macrofab,Description,Sim.Device,Sim.Pins,MAXIMUM_PACKAGE_HEIGHT,CREATOR,STANDARD,PARTREV,MANUFACTURER
"C1, C11, C2, C3, C501, C502, C503, C505, C506, C507, C6, C9",12,0.1uf,C_0201_0603Metric,,GRM033C81E104KE14D,,smt,[C9]490-10403-1-ND; [C6]490-7229-2-ND,C181047,Murata,SMD_2terminal_chip_molded,MF-CAP-0402-0.1uF,,,,,,,,
"C10, C504, C8",3,1uf,C_0201_0603Metric,,GRM033R60J105MEA2D,,smt,490-7229-1-ND,C76930,Murata,SMD_2terminal_chip_molded,,,,,,,,,
C12,1,4.7uF,C_0402_1005Metric,,CL05A475MP5NRNC,,smt,,C23733,Samsung Electro-Mechanics,SMD_2terminal_chip_molded,,Unpolarized capacitor,,,,,,,
C4,1,2.2uf,C_0402_1005Metric,,GRM155Z71A225KE01D,,smt,,C2997286,Murata,SMD_2terminal_chip_molded,,Unpolarized capacitor,,,,,,,
C7,1,10uf,C_0603_1608Metric,,GRM188R61E106MA73D,,smt,,C91606,Murata,SMD_2terminal_chip_molded,,,,,,,,,
Q501,1,PMBT2222AMBYL,SOT-883,,PMBT2222AMBYL,,smt,1727-PMBT2222AMBYLCT-ND,C552701,Nexperia,,,"NPN transistor, base/emitter/collector",NPN,1=B 2=E 3=C,,,,,
"R1, R2, R3",3,10k,R_0201_0603Metric,,RC0201FR-0710KL,,smt,311-10.0KMCT-ND,C106225,Yaego,SMD_2terminal_chip_molded,MF-RES-0402-10K,Resistor,,,,,,,
U1,1,TPS22916BYFPR,IC_TPS22916BYFPR,,TPS22916BYFPR,,smt,,C2150095,Texas Instruments,,,,,,0.5mm,DIZAR,Manufacturer Recommendations,F,Texas Instruments
U2,1,BMM350,BGA9_BMM350_BOS,,BMM350,,smt,,C17225907,Bosch Sensortec,,,,,,,,,,
U3,1,BMP581,QFN10_BMP581_BOS,,BMP581,,smt,,C5362283,Bosch,,,,,,,,,,
U302,1,stm32U375,UFQFPN-32-1EP_5x5mm_P0.5mm_EP3.5x3.5mm,,STM32U375KGU6,,smt,,C45338536,STMicroelectronics,package/no_lead,,,,,,,,,
U4,1,TPS7A02185PDQNR,Texas_X2SON-4_1x1mm_P0.65mm,,TPS7A02185PDQNR,,smt,296-TPS7A2018PDQNRCT-ND,C2864496,Texas Instruments,,,"300 mA Low Dropout Voltage Regulator, Fixed Output, 1.6..6.0Vin, Low-Noise (7μV RMS), 6.5μA IQ LDO, X2SON-5",,,,,,,
U5,1,LSM6DSV,LGA14-L_2P59X3P1X0P5_STM,,LSM6DSV,,smt,,C5267399,STM microelectronics,,,,,,,,,,
U501,1,RV-3028-C8-32.768kHz-1PPM-TA-QC,RV-3028-C8,,RV-3028-C8-32.768kHz-1PPM-TA-QC,,smt,,C46471039,Micro Crystal,,,,,,,,,,
U6,1,GD5F2GM7REYIGR,WSON-8-1EP_8x6mm_P1.27mm_EP3.4x4.3mm,,GD5F2GM7REYIGR,,smt,,C23706308,GigaDevice Semicon Beijing,package/no_lead,,"1-Gbit 1.8V SPI Serial Flash Memory, WSON-8",,,,,,,
