pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
13.675,5.495,-90.0,top,C1,GRM033C81E104KE14D,,C_0201_0603Metric,0.1uf,smt
9.78,10.12,90.0,top,C10,GRM033R60J105MEA2D,,C_0201_0603Metric,1uf,smt
7.745,9.46,180.0,top,C11,GRM033C81E104KE14D,,C_0201_0603Metric,0.1uf,smt
17.3,2.03,90.0,bottom,C12,CL05A475MP5NRNC,,C_0402_1005Metric,4.7uF,smt
10.905,9.225,180.0,bottom,C2,GRM033C81E104KE14D,,C_0201_0603Metric,0.1uf,smt
13.675,6.97,-90.0,top,C3,GRM033C81E104KE14D,,C_0201_0603Metric,0.1uf,smt
19.41,4.05,180.0,top,C4,GRM155Z71A225KE01D,,C_0402_1005Metric,2.2uf,smt
16.05,2.1,0.0,bottom,C501,GRM033C81E104KE14D,,C_0201_0603Metric,0.1uf,smt
13.325,1.32,0.0,bottom,C502,GRM033C81E104KE14D,,C_0201_0603Metric,0.1uf,smt
13.725,3.28,-90.0,top,C503,GRM033C81E104KE14D,,C_0201_0603Metric,0.1uf,smt
7.755,8.7,180.0,top,C504,GRM033R60J105MEA2D,,C_0201_0603Metric,1uf,smt
18.955,8.1,0.0,top,C505,GRM033C81E104KE14D,,C_0201_0603Metric,0.1uf,smt
19.2,4.95,180.0,top,C506,GRM033C81E104KE14D,,C_0201_0603Metric,0.1uf,smt
9.0,10.12,90.0,top,C507,GRM033C81E104KE14D,,C_0201_0603Metric,0.1uf,smt
15.5,5.67,180.0,top,C6,GRM033C81E104KE14D,,C_0201_0603Metric,0.1uf,smt
8.215,4.06,0.0,top,C7,GRM188R61E106MA73D,,C_0603_1608Metric,10uf,smt
7.755,7.1,180.0,top,C8,GRM033R60J105MEA2D,,C_0201_0603Metric,1uf,smt
7.755,7.9,180.0,top,C9,GRM033C81E104KE14D,,C_0201_0603Metric,0.1uf,smt
10.22,1.845,0.0,bottom,Q501,PMBT2222AMBYL,,SOT-883,PMBT2222AMBYL,smt
13.37,4.375,180.0,top,R1,RC0201FR-0710KL,,R_0201_0603Metric,10k,smt
17.73,4.15,180.0,top,R2,RC0201FR-0710KL,,R_0201_0603Metric,10k,smt
17.735,4.99,180.0,top,R3,RC0201FR-0710KL,,R_0201_0603Metric,10k,smt
9.37,8.68,90.0,top,U1,TPS22916BYFPR,,IC_TPS22916BYFPR,TPS22916BYFPR,smt
18.84995,6.35005,90.0,top,U2,BMM350,,BGA9_BMM350_BOS,BMM350,smt
15.457913,7.483128,180.0,top,U3,BMP581,,QFN10_BMP581_BOS,BMP581,smt
13.097913,5.633429,90.0,bottom,U302,STM32U375KGU6,,UFQFPN-32-1EP_5x5mm_P0.5mm_EP3.5x3.5mm,stm32U375,smt
7.73,5.77,-90.0,top,U4,TPS7A02185PDQNR,,Texas_X2SON-4_1x1mm_P0.65mm,TPS7A02185PDQNR,smt
11.697912,6.618787,90.0,top,U5,LSM6DSV,,LGA14-L_2P59X3P1X0P5_STM,LSM6DSV,smt
15.222913,3.829887,180.0,top,U501,RV-3028-C8-32.768kHz-1PPM-TA-QC,,RV-3028-C8,RV-3028-C8-32.768kHz-1PPM-TA-QC,smt
5.745,5.85,90.0,bottom,U6,GD5F2GM7REYIGR,,WSON-8-1EP_8x6mm_P1.27mm_EP3.4x4.3mm,GD5F2GM7REYIGR,smt
