Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type,DISTPN,LCSC,MFN,KiLib_Generator,Description,Sim.Device,Sim.Pins,Macrofab,B_NOM,PIN_COUNT_D,ENOM,COURTYARD_EXCESS,D_NOM,D_MAX,A_MAX,ALPHA_ROWS,A_NOM,A_MIN,STANDARD,PARTREV,DNOM,E_NOM,MANUFACTURER,COLLAPSING_BALL,PIN_COUNT_E,E_MIN,D_MIN,E_MAX
"C1, C11, C2, C3, C501, C502, C503, C505, C506, C6",10,0.1uf,C_0201_0603Metric,,GRM033C81E104KE14D,,smt,"[C3,C501,C502,C503,C505,C506]490-10403-1-ND; [C6]490-7229-2-ND",C181047,Murata,SMD_2terminal_chip_molded,,,,,,,,,,,,,,,,,,,,,,,,
C12,1,4.7uF,C_0402_1005Metric,,CL05A475MP5NRNC,,smt,,C23733,Samsung Electro-Mechanics,SMD_2terminal_chip_molded,Unpolarized capacitor,,,,,,,,,,,,,,,,,,,,,,,
C4,1,2.2uf,C_0402_1005Metric,,GRM155R6YA225KE11D,,smt,,C237392,Murata,SMD_2terminal_chip_molded,Unpolarized capacitor,,,,,,,,,,,,,,,,,,,,,,,
C504,1,1uf,C_0201_0603Metric,,GRM033R60J105MEA2D,,smt,490-7229-1-ND,C76930,Murata,SMD_2terminal_chip_molded,,,,,,,,,,,,,,,,,,,,,,,,
C7,1,4.7uf,C_0402_1005Metric,,GRM155R61A475MEAAD,,smt,,C335105,Murata,SMD_2terminal_chip_molded,Unpolarized capacitor,,,,,,,,,,,,,,,,,,,,,,,
C8,1,10uf,C_0402_1005Metric,,GRM155R60J106ME15D,,smt,,C412251,Murata,SMD_2terminal_chip_molded,Unpolarized capacitor,,,,,,,,,,,,,,,,,,,,,,,
L1,1,2.2uH,IND_DFE2016_MUR,,DFE201612E-2R2M=P2,,smt,,C337893,Murata,,Inductor,,,,,,,,,,,,,,,,,,,,,,,
Q501,1,PMBT2222AMBYL,SOT-883,,PMBT2222AMBYL,,smt,1727-PMBT2222AMBYLCT-ND,C552701,Nexperia,,"NPN transistor, base/emitter/collector",NPN,1=B 2=E 3=C,,,,,,,,,,,,,,,,,,,,,
"R1, R2, R3",3,10k,R_0201_0603Metric,,RC0201FR-0710KL,,smt,311-10.0KMCT-ND,C106225,Yaego,SMD_2terminal_chip_molded,Resistor,,,MF-RES-0402-10K,,,,,,,,,,,,,,,,,,,,
U2,1,BMM350,BGA9_BMM350_BOS,,BMM350,,smt,,C17225907,Bosch Sensortec,,,,,,,,,,,,,,,,,,,,,,,,,
U3,1,BMP581,QFN10_BMP581_BOS,,BMP581,,smt,,C5362283,Bosch,,,,,,,,,,,,,,,,,,,,,,,,,
U302,1,stm32U375,UFQFPN-32-1EP_5x5mm_P0.5mm_EP3.5x3.5mm,,STM32U375KGU6,,smt,,C45338536,STMicroelectronics,package/no_lead,,,,,,,,,,,,,,,,,,,,,,,,
U4,1,TPS62840YBGR,DSBGA6_1P4XP9_TEX,,TPS62840YBGR,,smt,,C2071139,Texas Instruments,,,,,,0.25,3.0,0.4,1.0,1.468,1.468,0.5,True,0.5,0.5,IPC 7351B,D,0.4,0.968,Texas Instruments,False,2.0,0.968,1.468,0.968
U5,1,LSM6DSV,LGA14-L_2P59X3P1X0P5_STM,,LSM6DSV,,smt,,C5267399,STM microelectronics,,,,,,,,,,,,,,,,,,,,,,,,,
U501,1,RV-3028-C8,RV-3028-C8,,RV-3028-C8-32.768kHz-1PPM-TA-QC,,smt,,C46471039,Micro Crystal,,,,,,,,,,,,,,,,,,,,,,,,,
U6,1,GD5F2GM7REYIGR,WSON-8-1EP_8x6mm_P1.27mm_EP3.4x4.3mm,,GD5F2GM7REYIGR,,smt,,C23706308,GigaDevice Semicon Beijing,package/no_lead,"2-Gbit 1.8V SPI Serial Flash Memory, WSON-8",,,,,,,,,,,,,,,,,,,,,,,
