Comment,Designator,Footprint,LCSC,Quantity
10uf,"C3,C9",C_0805_2012Metric,C15850,2
18k,R1,R_0805_2012Metric,C351602,1
1k,R4,R_0805_2012Metric,C17513,1
22nf,"C10,C7",C_0402_1005Metric,C1532,2
22uf,C8,C_0805_2012Metric,C45783,1
24k,R2,R_0805_2012Metric,C2692770,1
33k,R3,R_0805_2012Metric,C351577,1
4.7uf,"C1,C4,C5",C_0805_2012Metric,C1779,3
470nf,C2,C_0805_2012Metric,C13967,1
LT3045xDD,U1,DFN-10-1EP_3x3mm_P0.5mm_EP1.65x2.38mm,C514420,1
PUCC33420RAQR,U4,VSON-FCRLF12_RAQ_TEX,C46461551,1
XC6206PxxxMR,U2,SOT-23-3,C5148692,1
