Comment,Designator,Footprint,LCSC,Quantity
0.1uF,"C101,C102,C103,C107,C109,C11,C110,C111,C2,C3,C5,C6,C7,C9",C_0402_1005Metric,C1525,14
100,"R1,R106,R2",R_0402_1005Metric,C25076,3
10K,"R105,R3",R_0402_1005Metric,C25744,2
1uF,"C1,C104,C105,C106,C108,C12",C_0402_1005Metric,C52923,6
2.2K,"R104,R108",R_0402_1005Metric,C25879,2
200,R107,R_0402_1005Metric,C25087,1
AP2112K-1.8,U10,SOT-23-5,C22365428,1
LED,D105,LED_0603_1608Metric,C2286,1
LED,D1,LED_0805_2012Metric,C2297,1
Q_NPN_BEC,Q1,SOT-23,C20527,1
RV-3028-C7,U6,RV-8803-C7,C3019759,1
SN74LVC1T45DCK,"U7,U8",SOT-363_SC-70-6,C9382,2
SW_SPDT,SW1,CJS-1200B_NDC,C35817163,1
TPS7A0218PDBVR,U11,SOT-23-5,C3748843,1
Tactile Switch,U105,SW_SPST_TS_1187,C318889,1
USB_B_Mini,J104,USB_Mini-B_Lumberg_2486_01_Horizontal,C2681563,1
XC6206,U1,SOT-23-3,C5446,1
stm32l432,"U3,U5",UFQFPN-32-1EP_5x5mm_P0.5mm_EP3.5x3.5mm,C2928224,2
