Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0402_1005Metric,37.4422,71.9836,0.0,top
C101,0.1uF,C_0402_1005Metric,34.2112,56.6928,0.0,top
C102,0.1uF,C_0402_1005Metric,22.6568,60.551,-90.0,top
C103,0.1uF,C_0402_1005Metric,27.305,44.7294,-90.0,top
C104,1uF,C_0402_1005Metric,37.4422,65.8876,180.0,top
C105,1uF,C_0402_1005Metric,39.243,55.9308,180.0,top
C106,1uF,C_0402_1005Metric,40.0558,45.5702,90.0,top
C107,0.1uF,C_0402_1005Metric,27.3076,61.1632,0.0,top
C108,1uF,C_0402_1005Metric,36.7284,44.7702,-90.0,top
C109,0.1uF,C_0402_1005Metric,31.4706,44.6506,-90.0,top
C11,0.1uF,C_0402_1005Metric,34.2366,57.9374,0.0,top
C110,0.1uF,C_0402_1005Metric,28.4,47.18,-90.0,top
C111,0.1uF,C_0402_1005Metric,32.6,47.62,-90.0,top
C12,1uF,C_0402_1005Metric,39.017,61.341,180.0,top
C2,0.1uF,C_0402_1005Metric,34.234,55.6514,0.0,top
C3,0.1uF,C_0402_1005Metric,27.0256,29.0804,90.0,top
C5,0.1uF,C_0402_1005Metric,25.0216,26.67,180.0,top
C6,0.1uF,C_0402_1005Metric,34.7218,23.3452,-90.0,top
C7,0.1uF,C_0402_1005Metric,21.7746,28.2134,-90.0,top
C8,4.7uF,C_0402_1005Metric,28.603,29.5148,180.0,top
C9,0.1uF,C_0402_1005Metric,26.0096,25.6032,180.0,top
D1,LED-GREEN,LED_0805_2012Metric,34.0394,68.3767,-90.0,top
D105,LED-RED,LED_0603_1608Metric,17.2212,68.3767,-90.0,top
D4,D_Schottky,D_SOD-323,42.765,64.897,0.0,top
J104,USB_B_Mini,USB_Mini-B_Lumberg_2486_01_Horizontal,25.975,67.575,180.0,top
Q1,Q_NPN_BEC,SOT-23,22.1854,50.9801,90.0,top
R1,100,R_0402_1005Metric,34.0614,71.1454,90.0,top
R104,2.2K,R_0402_1005Metric,22.2992,53.6702,0.0,top
R105,10K,R_0402_1005Metric,35.9664,52.7792,90.0,top
R106,100,R_0402_1005Metric,30.2,44.65,-90.0,top
R107,200,R_0402_1005Metric,15.5,68.39,-90.0,top
R2,100,R_0402_1005Metric,29.2,53.19,-90.0,top
R3,10K,R_0402_1005Metric,21.8,30.19,-90.0,top
R7,10K,R_0402_1005Metric,43.7134,67.3842,-90.0,top
U1,XC6206,SOT-23-3,37.3635,68.92916,270.0,top
U10,AP2112K-1.8,SOT-23-5,38.613,58.5548,90.0,top
U105,Tactile Switch,SW_SPST_TS_1187,39.654,51.0766,90.0,top
U11,TPS7A0218PDQNR,Texas_X2SON-4_1x1mm_P0.65mm,38.382043,45.631,180.0,top
U2,SiP32432DR3,SOT-363_SC-70-6,41.4535,67.3862,0.0,top
U3,stm32U375,UFQFPN-32-1EP_5x5mm_P0.5mm_EP3.5x3.5mm,30.855,25.745,0.0,top
U4,USBLC6-2P6,SOT-666,24.5151,60.618,270.0,top
U5,stm32l432,UFQFPN-32-1EP_5x5mm_P0.5mm_EP3.5x3.5mm,29.3607,57.4574,180.0,top
U6,RV-3028-C7,RV-8803-C7,23.5368,29.2958,90.0,top
U7,SN74LVC1T45DCK,SOT-363_SC-70-6,26.5834,47.204793,90.0,top
U8,SN74LVC1T45DCK,SOT-363_SC-70-6,30.7952,47.1671,90.0,top
