Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C104, C105, C12",0402,4,1uF,C52923
"C10, C8",0402,2,4.7uf,C335105
"C101, C102, C103, C107, C109, C11, C110, C111, C2, C3, C5, C6, C7, C9",0402,14,0.1uF,C1525
C4,0402,1,10uf,C412251
D1,0805,1,LED,C2297
D105,0603,1,LED,C2286
J104,USB_Mini-B_Lumberg_2486_01_Horizontal,1,USB_B_Mini,C2681563
L1,IND_DFE2016_MUR,1,2.2uH,C337893
Q1,SOT-23,1,Q_NPN_BEC,C20527
"R1, R106, R2",0402,3,100,C25076
R104,0402,1,2.2K,C25879
"R105, R3",0402,2,12K,C25752
R107,0402,1,200,C25087
SW2,CJS-1200B_NDC,1,SW_SPDT,C35817163
U1,SOT-23-3,1,XC6206,C5446
U10,SOT-23-5,1,AP2112K-1.8,C22365428
U105,SW_SPST_TS_1187,1,Tactile Switch,C318889
U2,DSBGA6_1P4XP9_TEX,1,TPS62840YBGR,C2071139
U3,UFQFPN-32-1EP_5x5mm_P0.5mm_EP3.5x3.5mm,1,stm32U375,C45338536
U4,SOT-666,1,USBLC6-2P6,C15999
U5,UFQFPN-32-1EP_5x5mm_P0.5mm_EP3.5x3.5mm,1,STM32L432KBU6,C94784
U6,RV-8803-C7,1,RV-3028-C7,C3019759
"U7, U8",SOT-363_SC-70-6,2,SN74LVC1T45DCK,C9382
