Designator,Mid X,Mid Y,Rotation,Layer
C1,37.4422,71.9836,0.0,top
C10,36.52,44.4,0.0,top
C101,34.2112,56.6928,0.0,top
C102,22.6568,60.551,270.0,top
C103,27.305,44.7294,270.0,top
C104,37.4422,65.8876,180.0,top
C105,39.243,55.9308,180.0,top
C107,27.3076,61.1632,0.0,top
C109,31.4706,44.6506,270.0,top
C11,34.2366,57.9374,0.0,top
C110,28.4,47.18,270.0,top
C111,32.6,47.62,270.0,top
C12,39.017,61.341,180.0,top
C2,34.234,55.6514,0.0,top
C3,27.0256,29.0804,90.0,top
C4,38.1,42.7,90.0,top
C5,25.0216,26.67,180.0,top
C6,34.7218,23.3452,270.0,top
C7,21.7746,28.2134,270.0,top
C8,28.603,29.5148,180.0,top
C9,26.0096,25.6032,180.0,top
D1,34.0394,68.3767,270.0,top
D105,17.2212,68.3767,270.0,top
J104,25.975,67.575,180.0,top
L1,36.875,40.3,180.0,top
Q1,22.1854,50.9801,90.0,top
R1,34.0614,71.1454,90.0,top
R104,22.2992,53.6702,0.0,top
R105,13.5,65.1,90.0,top
R106,30.2,44.65,270.0,top
R107,15.5,68.39,270.0,top
R2,29.2,53.19,270.0,top
R3,21.8,30.19,270.0,top
SW2,39.4,51.8923,180.0,top
U1,37.3635,68.92916,270.0,top
U10,38.613,58.5548,90.0,top
U105,8.525,67.5,180.0,top
U2,36.04,42.7,270.0,top
U3,30.855,25.745,0.0,top
U4,24.5151,60.618,270.0,top
U5,29.3607,57.4574,180.0,top
U6,23.5368,29.2958,90.0,top
U7,26.5834,47.204793,90.0,top
U8,30.7952,47.1671,90.0,top
