Comment,Designator,Footprint,LCSC,Quantity
0.1uF,"C102,C103,C109,C110,C111,C2,C3,C6,C7,C8",C_0402_1005Metric,C1525,10
100,"R106,R4",R_0402_1005Metric,C25076,2
10K,"R2,R3",R_0402_1005Metric,C25744,2
12K,R105,R_0402_1005Metric,C25752,1
1M,R5,R_0402_1005Metric,C26083,1
1uF,"C1,C10,C104,C4,C5,C9",C_0402_1005Metric,C52923,6
2.2K,"R104,R107",R_0402_1005Metric,C25879,2
220,"R101,R102",R_0603_1608Metric,C22775,2
33K,R1,R_0402_1005Metric,C25779,1
AP2112K-1.8,U3,SOT-23-5,C22365428,1
LED-GREEN,D102,D_0805_2012Metric,C2297,1
LED-RED,D101,D_0805_2012Metric,C84256,1
SN74LVC1T45DCK,"U7,U8",SOT-363_SC-70-6,C9382,2
STM32L432KBU6,U5,UFQFPN-32-1EP_5x5mm_P0.5mm_EP3.5x3.5mm,C94784,1
SW_SPDT,"SW1,SW2",CJS-1200B_NDC,C35817163,2
TLV9001IDCKR,U6,SOT-353_SC-70-5,C398362,1
Tactile Switch,U105,SW_SPST_TS_1187,C318889,1
USBLC6-2P6,U4,SOT-666,C15999,1
USB_B_Mini,J104,USB_Mini-B,C2681563,1
XC6206P332MR,U1,SOT-23-3,C5446,1
XC6808A4C28R-G,U2,xc6808,C3682502,1
