Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0402_1005Metric,7.96,-5.65,0.0,top
C10,1uF,C_0402_1005Metric,35.53,-13.025,180.0,top
C102,0.1uF,C_0402_1005Metric,24.83,-11.96,-90.0,top
C103,0.1uF,C_0402_1005Metric,24.94,-25.09,0.0,top
C104,1uF,C_0402_1005Metric,7.38,-11.01,180.0,top
C109,0.1uF,C_0402_1005Metric,29.99,-25.12,0.0,top
C110,0.1uF,C_0402_1005Metric,29.99,-23.21,0.0,top
C111,0.1uF,C_0402_1005Metric,25.01,-23.15,0.0,top
C2,0.1uF,C_0402_1005Metric,30.77,-17.96,0.0,top
C3,0.1uF,C_0402_1005Metric,21.845,-14.335,180.0,top
C4,1uF,C_0402_1005Metric,24.63,-31.85,0.0,top
C5,1uF,C_0402_1005Metric,24.9675,-26.3725,0.0,top
C6,0.1uF,C_0402_1005Metric,32.9,-22.38,-90.0,top
C7,0.1uF,C_0402_1005Metric,30.77,-16.93,0.0,top
C8,0.1uF,C_0402_1005Metric,30.76,-15.89,0.0,top
C9,1uF,C_0402_1005Metric,33.9,-13.5,90.0,top
D101,LED-RED,D_0805_2012Metric,13.335,-2.159,-90.0,top
D102,LED-GREEN,D_0805_2012Metric,38.354,-2.159,-90.0,top
J104,USB_B_Mini,USB_Mini-B,26.035,-5.3856,-90.0,top
R1,33K,R_0402_1005Metric,38.926,-16.0268,0.0,top
R101,220,R_0603_1608Metric,15.24,-2.16,-90.0,top
R102,220,R_0603_1608Metric,36.6,-2.16,-90.0,top
R104,2.2K,R_0402_1005Metric,20.69,-27.06,-90.0,top
R105,12K,R_0402_1005Metric,27.91,-20.48,180.0,top
R106,100,R_0402_1005Metric,19.4,-27.05,-90.0,top
R107,2.2K,R_0402_1005Metric,32.68,-17.48,-90.0,top
R2,10K,R_0402_1005Metric,38.93,-14.96,0.0,top
R3,10K,R_0402_1005Metric,35.75,-17.28,180.0,top
R4,100,R_0402_1005Metric,25.63,-20.45,180.0,top
R5,1M,R_0402_1005Metric,34.0,-25.7,-90.0,top
SW1,SW_SPDT,CJS-1200B_NDC,41.829998,-21.5523,180.0,top
SW2,SW_SPDT,CJS-1200B_NDC,40.049998,-27.8923,180.0,top
U1,XC6206P332MR,SOT-23-3,7.54,-8.265,0.0,top
U105,Tactile Switch,SW_SPST_TS_1187,15.15,-18.845,180.0,top
U2,XC6808A4C28R-G,xc6808,36.225801,-15.3138,0.0,top
U3,AP2112K-1.8,SOT-23-5,25.0225,-29.06,0.0,top
U4,USBLC6-2P6,SOT-666,22.315,-11.82,0.0,top
U5,STM32L432KBU6,UFQFPN-32-1EP_5x5mm_P0.5mm_EP3.5x3.5mm,26.12,-16.1825,180.0,top
U6,TLV9001IDCKR,SOT-353_SC-70-5,34.6375,-22.85,270.0,top
U7,SN74LVC1T45DCK,SOT-363_SC-70-6,27.66,-24.1325,90.0,top
U8,SN74LVC1T45DCK,SOT-363_SC-70-6,22.65,-24.0875,90.0,top
