Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uf,C_0201_0603Metric,5.2,5.2,180.0,top
C2,0.1uf,C_0201_0603Metric,5.18,6.8,180.0,top
C3,0.1uf,C_0201_0603Metric,5.2,6.0,180.0,top
C4,22uf,C_0402_1005Metric,11.81,7.309,0.0,top
C404,22uf,C_0402_1005Metric,11.93,3.909,90.0,bottom
C5,0.1uf,C_0201_0603Metric,2.525,5.525,0.0,bottom
C501,0.1uf,C_0201_0603Metric,11.33,1.959,90.0,top
C502,0.1uf,C_0201_0603Metric,6.755,5.2,180.0,top
C503,0.1uf,C_0201_0603Metric,8.18,2.254,90.0,top
C6,47uf,C_0603_1608Metric,13.13,4.159,90.0,bottom
C7,1uf,C_0201_0603Metric,2.475,6.325,0.0,bottom
C8,1uf,C_0201_0603Metric,2.475,3.775,0.0,top
C9,0.1uf,C_0201_0603Metric,2.475,4.625,0.0,top
D401,D,D_0402_1005Metric,12.015,1.7,180.0,bottom
Q501,Q_NPN_BEC,SOT-883,7.0,6.35,-90.0,top
R1,10k,R_0201_0603Metric,8.14,4.168542,90.0,top
U1,at25ex321D-UUN,adesto_wlcsp12,9.23,6.373542,-90.0,top
U2,AK09940A,AK09940a,2.3684,3.6316,180.0,bottom
U3,LIS2DU12TR,LGA-12L_LIS2DU12_STM,5.850001,3.1001,90.0,top
U302,stm32l431kc,QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm,7.45,4.533542,90.0,bottom
U4,TPS7A2018PDQN,Texas_X2SON-4_1x1mm_P0.65mm,2.509643,5.9,0.0,top
U501,RV-3028-C7,RV-8803-C7,9.74,3.173542,180.0,top
