Comment,Designator,Footprint,LCSC,Quantity
0.1uf,"C1,C2,C3,C5,C501,C502,C503,C9",C_0201_0603Metric,C76928,8
10k,R1,R_0201_0603Metric,C106225,1
1uf,"C7,C8",C_0201_0603Metric,C126620,2
22uf,"C4,C404",C_0402_1005Metric,C2179118,2
47uf,C6,C_0603_1608Metric,C140782,1
D,D401,D_0402_1005Metric,C2886012,1
Q_NPN_BEC,Q501,SOT-883,C552701,1
RV-3028-C7,U501,RV-8803-C7,C3019759,1
TPS7A2018PDQN,U4,Texas_X2SON-4_1x1mm_P0.65mm,C2862166,1
at25ex321D-UUN,U1,adesto_wlcsp12,C1858339,1
stm32l431kc,U302,QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm,C1337280,1
LIS2DU12TR,U3,LGA-12L_LIS2DU12_STM,,1
AK09940A,U2,AK09940a,,1
